_Artist_ID,Biography,Start_Date_Disp,End_Date_Disp,Display_Name,First_Name,Last_Name,Nat_Culture_L2,Sort_Name,Artist_Code
2,,1904,1964,Edith Abigail Abbott,Edith Abigail,Abbott,American,"Abbott, Edith Abigail",
3,,,,Charles Abbott,Charles,Abbott,,"Abbott, Charles",
4,,,,C. E. Abbott,C. E.,Abbott,American,"Abbott, C. E.",
5,"American printmaker and sculptor, born 1934",1934,,Sigmund Abeles,Sigmund,Abeles,American,"Abeles, Sigmund",500046227
6,,1883,1973,Friedrich Ahlers-Hestermann,Friedrich,Ahlers-Hestermann,German,"Ahlers-Hestermann, Friedrich",500074940
7,,1886,1966,Vivian Akers,Vivian,Akers,American,"Akers, Vivian",
8,,1825,1861,Benjamin Paul Akers,Benjamin Paul,Akers,American,"Akers, Benjamin Paul",500372315
9,,1888,1995,Anni Albers,Anni,Albers,American (b. Germany),"Albers, Anni",500012591
10,,1888,1976,Josef Albers,Josef,Albers,"American, b. Germany","Albers, Josef",500033049
11,,1857,1946,Ernest Albert,Ernest,Albert,American,"Albert, Ernest",500117530
12,,1918,2007,Calvin Albert,Calvin,Albert,American,"Albert, Calvin",
13,,1917,2008,Albert Alcalay,Albert,Alcalay,b. France but lived in the USA since 1945,"Alcalay, Albert",
14,,1870,1954,Clifford Greer Alexander,Clifford Greer,Alexander,American,"Alexander, Clifford Greer",
15,,1886,1950,Charles Curtis Allen,Charles Curtis,Allen,American,"Allen, Charles Curtis",500011540
16,,1959,,Francis Alys,Francis,Alys,Belgian,"Alys, Francis",500116308
17,,,,F.L. (?) Amanter (?),F.L. (?),Amanter (?),Mexican,"Amanter (?), F.L. (?)",
18,,1948,,Gregory Amenoff,Gregory,Amenoff,American,"Amenoff, Gregory",500011440
19,,1768,1836,Ezra Ames,Ezra,Ames,American,"Ames, Ezra",500018732
20,,1859,1933,William King Amsden,William King,Amsden,American,"Amsden, William King",
21,,,,Wesley Andersens,Wesley,Andersens,,"Andersens, Wesley",
