_Objects_1_ID,File_Name,IsPrimary,View_1,height,width
2379,1973.082_001,1,primary,6372,5249
646,,1,,0,0
5822,2008.002_003,0,2008.002_003_cd.jpg,7164,5378
4815,1998.049_003,0,1998.049_003_cd.jpg,5624,4498
747,1954.103_001,1,,4840,4550
4815,1998.049_002,0,1998.049_002_cd.jpg,5460,4368
4790,1998.024_002,0,1998.024_002_cd.jpg,6418,5134
2620,1974.087_001,1,primary,4788,7122
6521,2008.215_001,1,,6641,4716
1854,1964.114_001,1,,3876,5014
957,,1,,0,0
1026,1959.023_001_fm.jpg,1,primary,0,0
681,1954.001_001,1,primary,4476,5676
1081,1959.104_001_fm.jpg,1,,0,0
1082,1959.105_001_fm.jpg,1,,0,0
1083,1959.106_001_fm.jpg,1,,0,0
1084,1959.107_001_fm.jpg,1,,0,0
328,2013.189_001,0,,7279,9688
6279,2013.015_001,1,,5428,7230
3848,1989.054_001,1,primary,4364,5787
3899,1991.012_001,1,primary,4200,5607
4337,,1,,0,0
4336,,1,,0,0
4629,,1,,0,0
3974,1992.001_001,1,,5110,5930
2031,1968.016_001,1,,8907,6674
4632,,1,,0,0
5263,,1,,0,0
1760,1964.043_001,1,primary,5275,6216
4633,,1,,0,0
1776,,1,,0,0
1882,1964.142_001,1,,5255,6707
1883,1964.143_001,1,,5702,7596
1884,1964.144_001,1,,6217,6801
1885,1964.145_001,1,,7571,5818
1886,1964.146_001,1,,7564,5786
1887,1964.147_001,1,,3512,4539
1888,1964.148_001,1,,4878,5654
1889,1964.149_001,1,,5710,7546
1890,1964.150_001,1,,6810,7637
1891,1964.151_001,1,,6931,5362
1892,1964.152_001,1,,6202,7252
1893,1964.153_001,1,,3679,4730
1894,1964.154_001,1,,6307,7554
1895,1964.155_001,1,,3805,4844
1896,1964.156_001,1,,3961,4989
1897,1964.157_001,1,,6526,7372
1898,1964.158_001,1,,3710,4880
1899,1964.159_001,1,,5704,7364
1900,1964.160_001,1,,5309,6902
1901,1964.161_001,1,,3843,4949
1902,1964.162_001,1,,5737,7373
1903,1964.163_001,1,,5693,7530
1904,1964.164_001,1,,4880,3829
1905,1964.165_001,1,,7714,6183
1906,1964.166_001,1,,4774,3831
1907,1964.167_001,1,,3846,4941
1908,1964.168_001,1,,5727,7591
1909,1964.169_001,1,,5656,7615
1910,1964.170_001,1,,3761,4771
1911,1964.171_001,1,,4809,3785
1912,1964.172_001,1,,5657,7465
1913,1964.173_001,1,,3642,4724
1914,1964.174_001,1,,8654,5545
1915,1964.175_001,1,,6030,7278
1916,1964.176_001,1,,5087,4202
1917,1964.177_001,1,,6317,7362
1918,1964.178_001,1,,6474,7904
1919,1964.179_001,1,,4854,3611
1920,1964.180_001,1,,3753,4753
1921,1964.181_001,1,,5367,7013
1922,1964.182_001,1,,5686,7478
1923,1964.183_001,1,,3880,4926
1924,1964.184_001,1,,4887,3836
